Code Education nationale,Type de collège,Nom,Adresse,Code Poste,Commune,Téléphone,adresse e-mail,Nom du (de la) Principal(e),Effectif,année scolaire,Code INSEE de la commune,Coordonnée X GPS,Coordonnée Y GPS,Date de début,Date de fin,Identifiant de l'opération de chargement,Code INSEE du Canton,Nom du Canton,numero de SIREN de l'EPCI,Nom de l'EPCI,Année de référence,Identifiant interne
ID_EDUCNAT,TYPE_COL,NOM_COLLEGE,ADRESSE,CODE_POSTAL,NOM_COM,TELEPHONE,EMAIL,PRINCIPAL,EFFECTIF,PERIODE,CODE_INSEE_COM,COORDX_GPS,COORDY_GPS,DATE_DEBUT,DATE_FIN,ID_HISTORIQUE,CODE_CANTON,CANTON,CODE_EPCI,EPCI,ANNEE_REF,ID_CD63_COLLEGES
0630050M,Public,Collège Condorcet,"58, rue Duchassein - 63290 PUY GUILLAUME",63290,PUY-GUILLAUME,04 73 94 71 12,Ce.0630050M@ac-clermont.fr,Mme BONNEMOY Sylvie,315,2021/2022,63291,"3,482141","45,962068",01/09/2021,01/07/2022,927,6320,MARINGUES,200070712,Thiers Dore et Montagne,2021,572
0631523N,Public,Collège de Bellime,Rue Rhin et Danube - 63120 COURPIERE,63120,COURPIERE,04 73 53 15 83,Ce.0631523N@ac-clermont.fr,Mme GERMAIN Isabelle,306,2021/2022,63125,"3,533666","45,767775",01/09/2021,01/07/2022,927,6322,LES MONTS-DU-LIVRADOIS,200070712,Thiers Dore et Montagne,2021,573
0630062A,Public,Collège Liziniat,Chemin de la Plagne - BP 28 - 63340 SAINT-GERMAIN-LEMBRON,63340,SAINT-GERMAIN-LEMBRON,04 73 96 42 19,Ce.0630062A@ac-clermont.fr,M. FAURE Michel,408,2021/2022,63352,"3,234913","45,457741",01/09/2021,01/07/2022,927,6306,BRASSAC-LES-MINES,200070407,Agglo Pays d'Issoire,2021,574
0631503S,Public,Collège Jules Ferry,Rue Henri Pourrat - 63570 BRASSAC LES MINES,63570,BRASSAC-LES-MINES,04 73 54 02 52,Ce.0631503S@ac-clermont.fr,Mme BEDOS Sandrine,169,2021/2022,63050,"3,323122","45,416859",01/09/2021,01/07/2022,927,6306,BRASSAC-LES-MINES,200070407,Agglo Pays d'Issoire,2021,575
0630064C,Public,Collège Gaspard des Montagnes,Routes des Granges - 63630 SAINT-GERMAIN-L'HERM,63630,SAINT-GERMAIN-L'HERM,04 73 72 00 10,Ce.0630064C@ac-clermont.fr,Mme MOUZEYAR Sylvie,150,2021/2022,63353,"3,53972","45,456505",01/09/2021,01/07/2022,927,6322,LES MONTS-DU-LIVRADOIS,200070761,Ambert Livradois Forez,2021,576
0630016A,Public,Collège A.G. Monnet,Le Marchidial - 63320 CHAMPEIX,63320,CHAMPEIX,04 73 96 39 20,Ce.0630016A@ac-clermont.fr,Mr CARBONELL Olivier,400,2021/2022,63080,"3,121383","45,586292",01/09/2021,01/07/2022,927,6329,LE SANCY,200070407,Agglo Pays d'Issoire,2021,577
0631763Z,Public,Collège Pierre Mendès France,"96, avenue Emile Zola - 63200 RIOM",63200,RIOM,04 73 64 68 00,Ce.0631763Z@ac-clermont.fr,M. DELHOMMEAU Patrick,722,2021/2022,63300,"3,107862","45,881712",01/09/2021,01/07/2022,927,6325,RIOM,200070753,Riom Limagne et Volcans,2021,578
0631580A,Public,Collège Michel de l'Hospital,"20, boulevard Desaix - 63200 RIOM",63200,RIOM,04 73 38 24 72,Ce.0631580A@ac-clermont.fr,M. CARRIE Cédric,545,2021/2022,63300,"3,116314","45,892216",01/09/2021,01/07/2022,927,6325,RIOM,200070753,Riom Limagne et Volcans,2021,579
0631407M,Privé,Collège Sainte-Jeanne d'Arc,"64 bis, rue de Lyon THIERS cedex",63300,THIERS,04 73 80 06 12,ce.0631407M@ac-clermont.fr,M. HEULOT Augustin,148,2021/2022,63430,"3,550538","45,860375",01/09/2021,01/07/2022,927,6330,THIERS,200070712,Thiers Dore et Montagne,2021,580
0631730N,Privé,Collège Sainte-Thècle,"7, rue Amélie Murat CHAMALIERES cedex",63400,CHAMALIERES,04 73 37 32 09,ce.0631730N@ac-clermont.fr,M. MASSON Eric,469,2021/2022,63075,"3,066797","45,777351",01/09/2021,01/07/2022,927,6308,CHAMALIERES,246300701,Clermont Auvergne Métropole,2021,582
0631100D,Privé,Collège Sainte-Anne,"27, route des Puys ORCINES",63870,ORCINES,04 73 62 10 28,ce.0631100D@ac-clermont.fr,Mme NOLLEVALLE Agnès,70,2021/2022,63263,"3,012327","45,781931",01/09/2021,01/07/2022,927,6323,ORCINES,246300701,Clermont Auvergne Métropole,2021,583
0631733S,Privé,Collège Saint-Pierre,Rue Saint-Pierre COURPIERE,63120,COURPIERE,04 73 51 72 00,ce.0631733S@ac-clermont.fr,M. FRESSY Clément,207,2021/2022,63125,"3,528831","45,752831",01/09/2021,01/07/2022,927,6322,LES MONTS-DU-LIVRADOIS,200070712,Thiers Dore et Montagne,2021,584
0631085M,Privé,Collège Saint-Alyre,"20, rue Sainte-George CLERMONT-FERRAND",63000,CLERMONT-FERRAND,04 73 31 70 30,ce.0631085M@ac-clermont.fr,M. SARRAIL Marc,690,2021/2022,63113,"3,082538","45,785352",01/09/2021,01/07/2022,927,6314,CLERMONT-FERRAND 5,246300701,Clermont Auvergne Métropole,2021,586
0631731P,Privé,Collège Fénelon,"1, Cours Raymond Poincaré CLERMONT-FERRAND",63000,CLERMONT-FERRAND,04 73 93 10 14,ce.0631731P@ac-clermont.fr,M. RIQUE Thierry,545,2021/2022,63113,"3,0903","45,771486",01/09/2021,01/07/2022,927,6313,CLERMONT-FERRAND 4,246300701,Clermont Auvergne Métropole,2021,587
0631073Z,Privé,Collège Massillon,"5, rue Bansac CLERMONT-FERRAND",63000,CLERMONT-FERRAND,04 73 98 09 70,ce.0631073Z@ac-clermont.fr,M. PERICHON Guillaume,511,2021/2022,63113,"3,092406","45,778292",01/09/2021,01/07/2022,927,6315,CLERMONT-FERRAND 6,246300701,Clermont Auvergne Métropole,2021,588
0631086N,Privé,Collège La Salle Franc Rosier,"122, avenue de la République CLERMONT-FERRAND",63100,CLERMONT-FERRAND,04 73 98 67 20,ce.0631086N@ac-clermont.fr,M. ROSSIGNON Hervé,600,2021/2022,63113,"3,109677","45,788185",01/09/2021,01/07/2022,927,6311,CLERMONT-FERRAND 2,246300701,Clermont Auvergne Métropole,2021,589
0631099C,Privé,Collège Les Cordeliers,Place des Cordeliers CLERMONT-FERRAND,63100,CLERMONT-FERRAND,04 73 23 25 25,ce.0631099C@ac-clermont.fr,Mme CORRIGER-BOMPARD Sonia,220,2021/2022,63113,"3,11317","45,796004",01/09/2021,01/07/2022,927,6311,CLERMONT-FERRAND 2,246300701,Clermont Auvergne Métropole,2021,590
0630038Z,Public,Collège René Cassin,Allée des Chênes - 63410 MANZAT,63410,MANZAT,04 73 86 60 37,Ce.0630038Z@ac-clermont.fr,M BARDET François,199,2021/2022,63206,"2,942751","45,960953",01/09/2021,01/07/2022,927,6327,SAINT-GEORGES-DE-MONS,200072098,Combrailles Sioule et Morge,2021,591
