Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Precious Achiuwa,Tor,F,"22,41",47,"23,1","48,1","16,6","11,2",76,"0,579",285,"0,442",56,"0,304","0,444","0,463","7,4","6,9","16,3","1,1","7,1","0,51","0,6",1,"6,6","102,4","103,9"
Steven Adams,Mem,C,"28,58",54,"25,9","53,9","12,4","20,2",150,"0,567",270,"0,541",0,0,"0,541","0,561",7,"9,6","19,4","3,2","15,6","0,89","0,69","1,57","9,3","122,7","104,1"
Bam Adebayo,Mia,C-F,"24,58",32,33,"68,8","25,4","15,6",189,"0,767",426,"0,531",3,0,"0,527","0,583","18,7","10,1","17,2","3,5","17,5","1,59","0,59","2,97","10,6","112,5","97,1"
Santi Aldama,Mem,F-C,"21,1",27,"10,2","21,4","17,1","7,8",20,"0,6",58,"0,569",39,"0,103","0,402","0,425","3,3","2,4","12,1","0,5","6,7","0,07","0,26","0,33","6,2","98,5","104,2"
LaMarcus Aldridge,Bro,C-F,"36,58",37,"22,8","47,5","23,2","8,2",71,"0,859",346,"0,587",38,"0,316","0,576","0,606","13,6","5,7","13,4","0,8","6,1","0,35","1,08",1,"6,9","117,6","106,7"
Nickeil Alexander-Walker,Nor,G,"23,46",50,"26,3","54,9",25,"11,2",97,"0,722",327,"0,434",305,"0,311","0,45","0,474","12,8","3,3","6,9","2,8","16,9","0,82","0,38","1,7","7,5","96,2","109,5"
Nickeil Alexander-Walker,Uta,G,"23,46",2,"2,6","5,4","8,4",0,0,0,0,0,1,0,0,0,0,"0,5","10,5",0,0,0,0,0,0,,
Grayson Allen,Mil,G,"26,36",48,"28,2","58,8","16,1","5,5",56,"0,857",144,"0,5",313,"0,393","0,561","0,582","11,7","3,4","6,4","1,5","7,5","0,85","0,31","0,58","5,5","118,4","109,2"
Jarrett Allen,Cle,C,"23,82",49,"32,6","67,9","18,3","12,8",213,"0,7",476,"0,676",10,"0,1","0,666","0,687","16,2","11,1","18,5","1,8","8,8","0,73","1,35","1,73","8,4","131,6",101
Jose Alvarado,Nor,G,"23,85",30,"12,9",27,"18,5",9,27,"0,741",82,"0,512",57,"0,316","0,496","0,524","5,3","1,5","6,2","2,1","24,6","1,03","0,13","0,5","7,9","113,9","102,4"
