ID,Nom,Âge,Taille,Poids,Nationalité,Poste,Matchs,E,T,P,D,J,R,Temps,Club
13,JACQUET Loïc,36,198,117,France,2ème ligne,10,,,,,1,,397,Castres
30,COMBEZOU Thomas,35,182,96,France,Centre,13,1,,,,,,773,Castres
93,CHOULY Damien,36,192,106,France,3ème ligne,13,,,,,1,,680,Perpignan
323,PICAMOLES Louis,36,192,118,France,3ème ligne,10,2,,,,1,,618,Bordeaux
330,OUEDRAOGO Fulgence,35,191,99,France,3ème ligne,8,,,,,,,500,Montpellier
339,TRINH-DUC François,35,186,90,France,Ouverture,15,,8,12,3,1,,636,Bordeaux
396,GUIRADO Guilhem,35,183,109,France,Talonneur,3,,,,,,,116,Montpellier
448,BURBAN Antoine,34,191,106,France,3ème ligne,12,1,,,,,,554,Paris
449,HIRÈCHE Saïd,36,183,102,France,3ème ligne,12,,,,,2,,886,Brive
451,PARISSE Sergio,38,196,122,Italie,3ème ligne,6,1,,,,,,408,Toulon
507,MÉDARD Maxime,35,180,88,France,Arrière,11,3,,,,,,780,Toulouse
581,ACÉBÈS Mathieu,34,182,90,France,Ailier,15,2,,,,2,,1086,Perpignan
811,PARRA Morgan,33,180,83,France,Mêlée,8,,8,19,,,,501,Clermont
1036,LAKAFIA Raphaël,33,191,115,France,3ème ligne,11,,,,,,,552,Toulon
1038,THOMAS Teddy,28,185,98,France,Ailier,4,2,,,,,,320,Racing 92
1046,LESGOURGUES Yann,31,177,82,France,Mêlée,16,3,,,,,,651,Bordeaux
1048,GOMEZ KODELA Francisco,36,184,121,Argentine,Pilier,9,,,,,,,373,Lyon
1061,TICHIT Antoine,32,182,112,France,Pilier,9,,,,,,,422,Castres
1068,URDAPILLETA Benjamin,35,178,86,Argentine,Ouverture,12,1,21,19,1,1,,871,Castres
1076,AGUILLON Pierre,34,180,93,France,Centre,6,,,,,,,135,Castres
1079,FOFANA Wesley,34,182,93,France,Centre,1,,,,,,,73,Clermont
1082,TOLOFUA Christopher,28,182,132,France,Talonneur,3,,,,,,,130,Toulon
1083,MAESTRI Yoann,34,202,119,France,2ème ligne,4,,,,,,,158,Paris
1084,CAMARA Yacouba,27,195,112,France,3ème ligne,11,,,,,1,,730,Montpellier
1085,TEKORI Iosefa,38,198,130,Samoa,2ème ligne,7,,,,,,1,158,Toulouse
1087,FICKOU Gaël,27,190,100,France,Centre,9,1,,,,1,,677,Racing 92
1089,BAILLE Cyril,28,182,116,France,Pilier,11,1,,,,,,499,Toulouse
1091,BÉZY Sébastien,30,174,78,France,Mêlée,11,,2,2,,,,653,Clermont
1092,BARRAQUE Jean-Pascal,30,182,86,France,Centre,9,1,,1,,,,711,Clermont
1094,JEDRASIAK Paul,29,200,121,France,2ème ligne,10,1,,,,,,509,Clermont
1099,O'CONNOR Marvin,30,178,86,France,Ailier,10,2,,,,,,670,Clermont
1101,ÉTRILLARD Anthony,28,183,110,France,Talonneur,13,,,,,,,628,Toulon
1115,SLIMANI Rabah,32,178,118,France,Pilier,12,,,,,,,448,Clermont
1117,PLISSON Jules,30,184,92,France,Ouverture,6,,3,10,,,,300,La Rochelle
1118,DANTY Jonathan,29,181,107,France,Centre,7,,,,,1,,433,La Rochelle
1120,NAYACALEVU Waisea,31,193,105,Fidji,Centre,15,6,,,,,,1124,Paris
1127,KUBRIASHVILI Davit,35,185,123,Géorgie,Pilier,10,1,,,,1,,329,Perpignan
1138,KAKOVIN Vasil,32,183,110,Géorgie,Pilier,13,,,,,,,540,Paris
1139,GUILLAMON Antoine,30,192,139,France,Pilier,5,,,,,1,,154,Castres
1140,DOUSSAIN Jean-Marc,31,174,93,France,Ouverture,11,1,6,,,,,390,Lyon
1144,TAOFIFENUA Sébastien,29,178,130,France,Pilier,11,,,,,,,419,Lyon
1146,VAHAAMAHINA Sébastien,30,203,127,France,2ème ligne,10,,,,,,,697,Clermont
1147,TAOFIFENUA Romain,31,200,127,France,2ème ligne,10,,,,,,,624,Lyon
1151,LOPEZ Camille,32,176,88,France,Ouverture,11,,12,20,2,,,629,Clermont
1160,GUITOUNE Sofiane,32,186,97,France,Centre,7,,,,,1,,469,Toulouse
1171,DA ROS François,38,179,104,France,Talonneur,8,1,,,,,,293,Biarritz
1175,LARANJEIRA Thomas,29,186,90,France,Arrière,10,,4,9,,1,,540,Brive
1189,MAYNADIER Clément,33,187,110,France,Talonneur,13,1,,,,1,,449,Bordeaux
1190,MARAIS Jandré,32,198,120,Afrique du sud,2ème ligne,10,,,,,,,460,Bordeaux
1193,DOMVO Darly,29,186,86,France,Arrière,7,,,,,,,376,Biarritz
1196,ALDEGHERI Dorian,28,180,119,France,Pilier,6,,,,,,,276,Toulouse
1197,METZ Fabrice,31,196,121,France,2ème ligne,12,,,,,,,562,Pau
1199,LAURET Wenceslas,32,188,103,France,3ème ligne,11,2,,,,,,682,Racing 92
1202,MACHENAUD Maxime,33,174,87,France,Mêlée,14,2,19,23,,,,646,Racing 92
1204,DUMOULIN Alexandre,32,189,101,France,Centre,4,,,,,,,97,Pau
1205,CHAVANCY Henry,33,181,97,France,Centre,8,,,,,,,392,Racing 92
1206,VAKATAWA Virimi,29,185,98,Fidji,Centre,12,2,,,,1,,785,Racing 92
1207,BEN AROUS Eddy,31,183,110,France,Pilier,7,,,,,,,267,Racing 92
1209,LE ROUX Bernard,32,196,113,Afrique du sud,2ème ligne,12,,,,,,,785,Racing 92
1215,IVALDI Mickaël,32,181,108,France,Talonneur,14,1,,,,,,567,Lyon
1218,PÉLISSIÉ Jonathan,33,179,84,France,Mêlée,14,,1,1,,,,654,Lyon
1226,PAILLAUGUE Benoît,34,172,74,France,Mêlée,1,,,3,,,,70,Montpellier
1245,ARMITAGE Steffon,36,178,115,Angleterre,3ème ligne,16,,,,,,,710,Biarritz
1248,MARTIN Vincent,29,185,93,France,Centre,5,2,,,,,,165,Biarritz
1250,CHIOCCI Xavier,32,180,119,France,Pilier,8,,,,,1,,234,Lyon
1253,BASTAREAUD Mathieu,33,183,125,France,3ème ligne,2,,,,,,,85,Lyon
