Nom de la commune,Varennes-sur-Usson,Vodable,Villeneuve,Vichel,Verrières,Valz-sous-Châteauneuf,Usson,Tourzel-Ronzières,Ternant-les-Eaux,Sugères,Solignat,Sauxillanges,Sauvagnat-Sainte-Marthe,Saurier,Saint-Yvoine,Saint-Vincent,Saint-Rémy-de-Chargnat,Saint-Quentin-sur-Sauxillanges,Saint-Martin-d'Ollières,Saint-Martin-des-Plains,Saint-Jean-Saint-Gervais,Saint-Jean-en-Val,Saint-Hérent,Saint-Gervazy,Saint-Germain-Lembron,Saint-Genès-la-Tourette,Saint-Floret,Saint-Étienne-sur-Usson,Saint-Cirgues-sur-Couze,Saint-Babel,Saint-Alyre-ès-Montagne,Roche-Charles-la-Mayrand,Rentières,Plauzat,Peslières,Perrier,Parentignat,Parent,Pardines,Orbeil,Nonette-Orsonnette,Neschers,Moriat,Montpeyroux,Montaigut-le-Blanc,Meilhaud,Mazoires,Mareugheol,Madriat,Ludesse,Le Vernet-Chaméane,Les Pradeaux,Le Broc,Le Breuil-sur-Couze,Lamontgie,La Chapelle-sur-Usson,La Chapelle-Marcousse,Jumeaux,Issoire,Grandeyrolles,Gignat,Esteil,Égliseneuve-des-Liards,Dauzat-sur-Vodable,Courgoul,Coudes,Collanges,Clémensat,Chidrac,Chassagne,Charbonnier-les-Mines,Champeix,Champagnat-le-Jeune,Chalus,Chadeleuf,Brenat,Brassac-les-Mines,Boudes,Bergonne,Beaulieu,Bansat,Auzat-la-Combelle,Aulhat-Flat,Augnat,Ardes,Apchat,Anzat-le-Luguet,Antoingt
SIREN,216304444,216304667,216304584,216304568,216304527,216304428,216304394,216304352,216304295,216304238,216304220,216304154,216304113,216304097,216304048,216304030,216303925,216303891,216303768,216303750,216303677,216303669,216303578,216303560,216303529,216303487,216303420,216303404,216303305,216303214,216303131,216303032,216302992,216302828,216302778,216302752,216302703,216302695,216302687,216302612,200053155,216302505,216302422,216302414,216302349,216302224,216302208,216302091,216302026,216301994,200085033,216302877,216300541,216300525,216301853,216300889,216300871,216301820,216301788,216301721,216301663,216301564,216301457,216301341,216301226,216301218,216301143,216301119,216301093,216300970,216300913,216300806,216300798,216300749,216300731,216300517,216300509,216300467,216300368,216300319,216300293,216300228,200056422,216300178,216300095,216300079,216300061,216300053
Insee,63444,63466,63458,63456,63452,63442,63439,63435,63429,63423,63422,63415,63411,63409,63404,63403,63392,63389,63376,63375,63367,63366,63357,63356,63352,63348,63342,63340,63330,63321,63313,63303,63299,63282,63277,63275,63270,63269,63268,63261,63255,63250,63242,63241,63234,63222,63220,63209,63202,63199,63448,63287,63054,63052,63185,63088,63087,63182,63178,63172,63166,63156,63145,63134,63122,63121,63114,63111,63109,63097,63091,63080,63079,63074,63073,63051,63050,63046,63036,63031,63029,63022,63160,63017,63009,63007,63006,63005
Population totale en vigueur en 2021 (millésimée 2018),297,199,157,362,73,55,297,238,36,613,513,1289,487,277,616,424,589,114,156,161,124,356,117,346,2037,183,255,270,355,955,124,42,108,1709,66,908,526,891,289,872,604,862,383,344,886,502,100,208,111,503,872,347,712,1125,652,80,65,627,15617,55,245,61,154,76,63,1284,159,122,539,78,914,1404,152,181,443,639,3471,295,333,470,258,2068,945,184,589,169,178,408
Population municipale en vigueur en 2021 (millésimée 2018),293,196,156,348,72,52,295,231,34,604,504,1276,478,275,605,413,580,112,149,160,123,353,115,333,1995,182,248,267,349,940,119,41,108,1688,66,889,510,876,285,843,588,845,373,329,869,494,97,203,108,498,808,340,695,1039,644,80,64,612,15214,53,240,61,148,74,62,1270,158,117,527,76,899,1382,150,181,430,626,3349,291,329,465,255,2040,914,183,583,166,176,403
"Densité démographique en 2021 (population totale/superficie géographique, en hab/km²)",47.6,16.8,36.9,60.9,22,10.1,54.3,19.6,9.5,29.3,45.5,51.2,74.6,32.9,68.1,70.7,93.4,13.6,10.3,41.3,8.5,29.2,9,23.4,127.1,9.8,20.4,17.1,226.6,48.7,2.9,2.5,6.9,129.7,9.6,139.6,137.5,233,55,87.4,55.2,86.4,34.5,100,39,110.5,2.3,26.9,23,58.8,17.6,61.4,39.8,174.9,90.8,11.8,3.2,85.8,772.7,10,68.8,13.4,17.7,4.9,7.3,272.5,35.5,36.4,147.6,4.7,267.6,114,16,27.5,75.4,70.9,465.1,36.7,57.2,53.8,24.7,160.1,71.5,19.2,35.1,4.6,2.6,51.5
Variation annuelle de la population entre 2016 et 2021 (en %),1.8,-0.6,-0.9,2.1,-1.3,-1.1,2.1,-1.7,-4.6,-0,1,1.1,-1.2,2.6,1.6,-0.1,1.3,2.1,0.4,2.6,1.2,-0.3,3,1.2,1.2,0.1,-1.7,-0.7,0.4,0.2,-3.9,-2.7,-0.5,1.6,-1.7,0.2,0.8,1.8,3.5,-0.5,1.8,-1.3,0.1,-0.9,1,-1.9,-0.4,2.2,-3,0.5,-1.1,1.2,1.5,-0.2,0.8,3.9,-2.1,-2.5,1.3,-1.8,-0.3,-1.3,0.7,-3.8,-3.5,1.5,2.3,0.5,2.3,-0.3,-0.1,0.9,3.2,0.2,0.7,1,0.4,1.1,-0.7,2.6,0.5,-0.5,0.2,4.6,2.3,-0.5,-0.9,0.9
Taux d’activité des 15 à 64 ans en 2016 (en %),82.3,75.5,79.4,80.5,77.6,79.3,82.4,70.8,82.1,74.6,79.6,78.6,78.1,80.8,80.2,85.5,83.6,86.8,76.6,83.7,67.2,79.3,82.1,63.3,70.4,79.3,77.6,73.4,80.7,82.7,85.1,84.4,73.6,80.9,86.7,79.6,78.9,83.5,79,76.7,70.1,74.7,78.2,79.1,80,69.6,75.9,74,82,80.6,66,80.2,72.8,75.1,80.4,78,84.1,69.4,75.7,74.2,79.4,82.9,76.9,84.1,86.1,80.5,71.9,88.8,76.5,76.9,76.4,79.5,67.5,72.1,79.4,76.1,71.4,79.2,75.1,78.3,80.5,75.3,79.9,78.8,77.4,70.4,77,81
Taux de chômage des 15 à 64 ans en 2016 (en %),6.3,5.5,13.1,5.6,10.2,13.8,1.8,9.3,14.3,9.5,3.1,7.8,6.2,13.8,6.6,8.2,8.9,8.8,14.3,9.3,10.4,7.8,4.5,4,8.4,8.1,16.1,7.2,7.9,8.2,6.8,9.4,7.5,6.5,0,6.2,7.3,6.4,3.7,4.3,6.9,8.7,4.4,6.5,6,10.4,1.9,8.4,14.8,6.7,6.5,8.8,7.3,9,16.5,14.6,6.8,11.3,11.7,3.2,6.4,11.4,12.1,2.3,16.7,8.8,5.2,13.8,6.2,11.5,7.3,9.7,11.2,4.8,7.5,6.3,14.2,10.1,5.9,12.8,5.9,10.6,8.3,2.5,9.6,7.1,1.1,7
Revenu fiscal médian des ménages par unité de consommation 2017 (en €),22490,22530,18030,23540,,,23770,19840,,20130,22870,20260,21870,19790,24900,22430,21900,19100,17260,21550,19130,22110,17030,21170,20780,20490,21640,21150,21620,22640,15360,,17970,24190,,22750,23980,23720,21430,24210,21580,20990,19630,28890,21610,19730,,20620,21500,23000,19050,21960,22470,21900,19420,,,19620,20690,,21420,,19600,,,21530,21730,21550,21430,,19910,20670,19250,22390,24940,23600,19510,20780,22150,21330,21910,20310,24070,19780,18400,16920,15060,21210
Classement de la commune en zone de revitalisation rurale (ZRR),Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
