tout_moment,variete,comment,sucre,forme,type,sexe,CSP,sportif,age,frequence,plus_pour_la_sante
0,noir,pur,1,sachet,inconnu,H,cadre moyen,1,39,1/jour,1
0,noir,lait,0,sachet,variable,F,cadre moyen,1,45,1/jour,1
0,parfumé,pur,0,sachet,variable,F,autre actif,1,47,+ de 2/jour,1
0,parfumé,pur,1,sachet,variable,H,étudiant,0,23,1/jour,1
1,parfumé,pur,0,sachet,variable,H,employé,1,48,+ de 2/jour,0
0,parfumé,pur,0,sachet,MDD,H,étudiant,1,21,1/jour,1
0,parfumé,pur,0,sachet,variable,H,cadre sup,1,37,3 à 6/sem,1
0,noir,lait,0,sachet,variable,F,cadre moyen,1,36,1 à 2/sem,1
0,parfumé,lait,0,sachet+vrac,haude_gamme,H,cadre sup,1,40,+ de 2/jour,0
0,noir,pur,0,sachet+vrac,haude_gamme,H,cadre sup,0,37,+ de 2/jour,1
0,parfumé,pur,0,sachet,inconnu,H,cadre moyen,1,32,1/jour,0
0,parfumé,pur,1,sachet,variable,H,cadre moyen,1,31,1/jour,0
0,parfumé,lait,0,sachet+vrac,MDD,H,cadre sup,1,56,1/jour,0
0,noir,lait,1,sachet,marque_connue,H,non actif,1,66,+ de 2/jour,1
0,noir,lait,0,sachet,haude_gamme,H,non actif,1,65,+ de 2/jour,1
0,parfumé,pur,1,vrac,haude_gamme,H,cadre moyen,1,60,+ de 2/jour,1
0,noir,pur,0,sachet+vrac,haude_gamme,H,cadre moyen,1,35,+ de 2/jour,0
0,parfumé,pur,0,sachet,variable,F,non actif,1,72,+ de 2/jour,1
0,noir,pur,0,sachet,marque_connue,F,non actif,0,73,+ de 2/jour,0
0,noir,pur,0,sachet,variable,F,non actif,1,80,+ de 2/jour,1
0,parfumé,citron,0,sachet,variable,F,non actif,0,76,+ de 2/jour,1
0,noir,autre,0,sachet+vrac,variable,F,non actif,1,63,+ de 2/jour,1
0,parfumé,pur,0,sachet,haude_gamme,F,non actif,1,55,+ de 2/jour,0
0,noir,pur,0,sachet,haude_gamme,F,non actif,0,56,+ de 2/jour,1
1,parfumé,pur,0,vrac,marque_connue,F,non actif,0,60,+ de 2/jour,1
1,parfumé,lait,0,sachet,inconnu,F,étudiant,1,22,+ de 2/jour,0
0,parfumé,pur,1,sachet,variable,F,employé,1,24,+ de 2/jour,1
