nom,age,nationalite,club,valeur,salaire,rupture,attaque/defense,pied
L. Messi,31,Argentina,FC Barcelona,110500,565,226500.0,Medium/ Medium,Left
Cristiano Ronaldo,33,Portugal,Juventus,77000,405,127100.0,High/ Low,Right
Neymar Jr,26,Brazil,Paris Saint-Germain,118500,290,228100.0,High/ Medium,Right
De Gea,27,Spain,Manchester United,72000,260,138600.0,Medium/ Medium,Right
K. De Bruyne,27,Belgium,Manchester City,102000,355,196400.0,High/ High,Right
E. Hazard,27,Belgium,Chelsea,93000,340,172100.0,High/ Medium,Right
L. Modrić,32,Croatia,Real Madrid,67000,420,137400.0,High/ High,Right
L. Suárez,31,Uruguay,FC Barcelona,80000,455,164000.0,High/ Medium,Right
Sergio Ramos,32,Spain,Real Madrid,51000,380,104600.0,High/ Medium,Right
J. Oblak,25,Slovenia,Atlético Madrid,68000,94,144500.0,Medium/ Medium,Right
R. Lewandowski,29,Poland,FC Bayern München,77000,205,127100.0,High/ Medium,Right
T. Kroos,28,Germany,Real Madrid,76500,355,156800.0,Medium/ Medium,Right
D. Godín,32,Uruguay,Atlético Madrid,44000,125,90200.0,Medium/ High,Right
David Silva,32,Spain,Manchester City,60000,285,111000.0,High/ Medium,Left
N. Kanté,27,France,Chelsea,63000,225,121300.0,Medium/ High,Right
P. Dybala,24,Argentina,Juventus,89000,205,153500.0,High/ Medium,Left
H. Kane,24,United Kingdom,Tottenham Hotspur,83500,205,160700.0,High/ High,Right
A. Griezmann,27,France,Atlético Madrid,78000,145,165800.0,High/ High,Left
M. ter Stegen,26,Germany,FC Barcelona,58000,240,123300.0,Medium/ Medium,Right
T. Courtois,26,Belgium,Real Madrid,53500,240,113700.0,Medium/ Medium,Left
Sergio Busquets,29,Spain,FC Barcelona,51500,315,105600.0,Medium/ Medium,Right
E. Cavani,31,Uruguay,Paris Saint-Germain,60000,200,111000.0,High/ High,Right
M. Neuer,32,Germany,FC Bayern München,38000,130,62700.0,Medium/ Medium,Right
S. Agüero,30,Argentina,Manchester City,64500,300,119300.0,High/ Medium,Right
G. Chiellini,33,Italy,Juventus,27000,215,44600.0,Medium/ High,Left
K. Mbappé,19,France,Paris Saint-Germain,81000,100,166100.0,High/ Medium,Right
M. Salah,26,Egypt,Liverpool,69500,255,137300.0,High/ Medium,Left
Casemiro,26,Brazil,Real Madrid,59500,285,126400.0,Medium/ High,Right
J. Rodríguez,26,Colombia,FC Bayern München,69500,315,,Medium/ Medium,Left
L. Insigne,27,Italy,Napoli,62000,165,105400.0,High/ Medium,Right
