Date,Année,Mois,Jour,Prix
2013-01-28,2013,1,28,13.05
2013-01-29,2013,1,29,13.2
2013-01-30,2013,1,30,13.79
2013-01-31,2013,1,31,14.56
2013-02-01,2013,2,1,14.75
2013-02-02,2013,2,2,15.35
2013-02-03,2013,2,3,15.1
2013-02-04,2013,2,4,14.37
2013-02-05,2013,2,5,14.76
2013-02-06,2013,2,6,15.02
2013-02-07,2013,2,7,15.2
2013-02-08,2013,2,8,15.84
2013-02-09,2013,2,9,16.26
2013-02-10,2013,2,10,16.85
2013-02-11,2013,2,11,17.44
2013-02-12,2013,2,12,17.47
2013-02-13,2013,2,13,18.0
2013-02-14,2013,2,14,18.71
2013-02-15,2013,2,15,18.43
2013-02-16,2013,2,16,20.12
2013-02-17,2013,2,17,20.2
2013-02-18,2013,2,18,20.44
2013-02-19,2013,2,19,20.18
2013-02-20,2013,2,20,20.34
2013-02-21,2013,2,21,22.26
2013-02-22,2013,2,22,22.5
2013-02-23,2013,2,23,22.51
2013-02-24,2013,2,24,23.0
2013-02-25,2013,2,25,22.68
2013-02-26,2013,2,26,22.66
2013-02-27,2013,2,27,23.21
2013-02-28,2013,2,28,24.0
2013-03-01,2013,3,1,23.5
2013-03-02,2013,3,2,25.64
2013-03-03,2013,3,3,26.7
2013-03-04,2013,3,4,26.97
2013-03-05,2013,3,5,26.9
2013-03-06,2013,3,6,28.23
2013-03-07,2013,3,7,31.47
2013-03-08,2013,3,8,32.31
2013-03-09,2013,3,9,31.57
2013-03-10,2013,3,10,33.59
2013-03-11,2013,3,11,35.8
2013-03-12,2013,3,12,35.7
2013-03-13,2013,3,13,37.15
2013-03-14,2013,3,14,33.18
2013-03-15,2013,3,15,36.42
2013-03-16,2013,3,16,36.52
2013-03-17,2013,3,17,36.4
2013-03-18,2013,3,18,36.5
2013-03-19,2013,3,19,36.65
2013-03-20,2013,3,20,39.5
2013-03-21,2013,3,21,46.0
2013-03-22,2013,3,22,49.82
2013-03-23,2013,3,23,56.0
2013-03-24,2013,3,24,53.97
2013-03-25,2013,3,25,49.65
2013-03-26,2013,3,26,55.15
2013-03-27,2013,3,27,56.75
2013-03-28,2013,3,28,60.93
2013-03-29,2013,3,29,69.25
2013-03-30,2013,3,30,70.63
2013-03-31,2013,3,31,70.86
2013-04-01,2013,4,1,72.27
2013-04-02,2013,4,2,73.74
2013-04-03,2013,4,3,80.77
2013-04-04,2013,4,4,92.19
2013-04-05,2013,4,5,102.99
2013-04-06,2013,4,6,104.0
2013-04-07,2013,4,7,108.5
2013-04-08,2013,4,8,111.97
2013-04-09,2013,4,9,127.16
2013-04-10,2013,4,10,143.63
2013-04-11,2013,4,11,180.1
2013-04-12,2013,4,12,127.01
2013-04-13,2013,4,13,92.0
2013-04-14,2013,4,14,88.0
2013-04-15,2013,4,15,71.0
2013-04-16,2013,4,16,67.4
2013-04-17,2013,4,17,63.0
2013-04-18,2013,4,18,51.1
2013-04-19,2013,4,19,71.5
2013-04-20,2013,4,20,82.5
2013-04-21,2013,4,21,91.51
2013-04-22,2013,4,22,98.15
2013-04-23,2013,4,23,92.0
2013-04-24,2013,4,24,95.0
2013-04-25,2013,4,25,109.68
2013-04-26,2013,4,26,119.0
2013-04-27,2013,4,27,108.8
2013-04-28,2013,4,28,105.0
2013-04-29,2013,4,29,100.7
2013-04-30,2013,4,30,104.0
2013-05-01,2013,5,1,109.0
2013-05-02,2013,5,2,105.55
2013-05-03,2013,5,3,90.0
2013-05-04,2013,5,4,81.18
2013-05-05,2013,5,5,75.0
2013-05-06,2013,5,6,84.49
2013-05-07,2013,5,7,88.33
2013-05-08,2013,5,8,85.04
2013-05-09,2013,5,9,85.0
2013-05-10,2013,5,10,85.0
2013-05-11,2013,5,11,85.3
2013-05-12,2013,5,12,88.11
2013-05-13,2013,5,13,90.0
2013-05-14,2013,5,14,89.8
2013-05-15,2013,5,15,90.09
2013-05-16,2013,5,16,86.01
2013-05-17,2013,5,17,87.95
2013-05-18,2013,5,18,91.11
2013-05-19,2013,5,19,93.1
2013-05-20,2013,5,20,93.65
2013-05-21,2013,5,21,93.9
2013-05-22,2013,5,22,92.5
2013-05-23,2013,5,23,93.28
2013-05-24,2013,5,24,94.41
2013-05-25,2013,5,25,96.0
2013-05-26,2013,5,26,102.0
2013-05-27,2013,5,27,101.0
2013-05-28,2013,5,28,102.29
2013-05-29,2013,5,29,101.5
2013-05-30,2013,5,30,99.8
