"","name","team","position","age","height","feet","inches","weight","college","salary"
"1","Jaylen Brown","Boston Celtics","SG",24,78,6,6,223,"California",26758928
"2","Kris Dunn","Boston Celtics","PG",27,75,6,3,205,"Providence",5005350
"3","Carsen Edwards","Boston Celtics","PG",23,71,5,11,200,"Purdue",1782621
"4","Bruno Fernando","Boston Celtics","PF",23,81,6,9,240,"Maryland",1782621
"5","Al Horford","Boston Celtics","C",35,81,6,9,240,"Florida",2.7e+07
"6","Enes Kanter","Boston Celtics","C",29,73,6,1,250,"Kentucky",1669178
"7","Romeo Langford","Boston Celtics","SG",21,76,6,4,216,"Indiana",3804360
"8","Aaron Nesmith","Boston Celtics","SF",21,77,6,5,215,"Vanderbilt",3631200
"9","Jabari Parker","Boston Celtics","PF",26,80,6,8,245,"Duke",2283034
"10","Payton Pritchard","Boston Celtics","PG",23,73,6,1,195,"Oregon",2137440
"11","Josh Richardson","Boston Celtics","SG",27,77,6,5,200,"Tennessee",11615328
"12","Dennis Schroder","Boston Celtics","PG",27,75,6,3,172,"nan",5890000
"13","Marcus Smart","Boston Celtics","PG",27,75,6,3,220,"Oklahoma State",14339285
"14","Jayson Tatum","Boston Celtics","SF",23,80,6,8,210,"Duke",28103500
"15","Grant Williams","Boston Celtics","PF",22,78,6,6,236,"Tennessee",2617800
"16","Robert Williams III","Boston Celtics","C",23,80,6,8,237,"Texas A&M",3661976
"17","DeAndre' Bembry","Brooklyn Nets","SG",27,77,6,5,210,"Saint Joseph's",1669178
"18","Bruce Brown","Brooklyn Nets","SF",25,76,6,4,202,"Miami (FL)",4736102
"19","Jevon Carter","Brooklyn Nets","PG",25,73,6,1,200,"West Virginia",3650000
"20","Nicolas Claxton","Brooklyn Nets","PF",22,83,6,11,215,"Georgia",1782621
"21","Sekou Doumbouya","Brooklyn Nets","SF",20,80,6,8,230,"nan",3613680
"22","Kevin Durant","Brooklyn Nets","PF",32,73,6,1,240,"Texas",42018900
"23","Blake Griffin","Brooklyn Nets","PF",32,81,6,9,250,"Oklahoma",1669178
"24","James Harden","Brooklyn Nets","SG",32,77,6,5,220,"Arizona State",44310840
"25","Joe Harris","Brooklyn Nets","SF",30,78,6,6,220,"Virginia",17357143
"26","Kyrie Irving","Brooklyn Nets","PG",29,74,6,2,195,"Duke",35328700
"27","Alize Johnson","Brooklyn Nets","PF",25,79,6,7,212,"Missouri State",1762796
"28","James Johnson","Brooklyn Nets","PF",34,79,6,7,240,"Wake Forest",1669178
"29","Patty Mills","Brooklyn Nets","PG",33,73,6,1,180,"Saint Mary's",5890000
